termID	en	fr
Home.Title	Home	Accueil
Home.DateModified	Date Modified	Date de modification
ROUTES.overview	overview	apercu
ROUTES.forDesigners	designers	concepteurs
ROUTES.forDevelopers	developers	developpeurs
ROUTES.utilities	utilities	utilitaires
ROUTES.buttons	buttons	boutons
ROUTES.contact	contact	contactez
ROUTES.codeview	codeview	codeview-fr
ROUTES.mahsa	mahsa-en	mahsa-fr
ROUTES.michael	michael-en	michael-fr
ROUTES.naseer	naseer-en	naseer-fr
ROUTES.mike	mike-en	mike-fr
ROUTES.bobby	bobby-en	bobby-fr
ROUTES.AccessibilityDemo	accessibility-demo	démo-d'accessibilité
ROUTES.AccessibilityDemoNext	accessibility-demo-next	démo-d'accessibilité-prochaine
ROUTES.AccessibilityDemoPrevious	accessibility-demo-previous	démo-d'accessibilité-précédent
ROUTES.QATesting	qa	aq
Buttons.Title	Buttons	Boutons
Buttons.Copy	Copy	Copier
Buttons.CopyCode	Copy code	Copier le code
Buttons.CopyStyle	Copy style	Copy style
Buttons.CopyURL	Copy URL	Copier l’URL
Buttons.Intro	Buttons trigger an action or navigate to another page. They have multiple styles and configurations for various needs. They call attention to actions the user should take to progress through a flow.	Les boutons déclenchent une action ou permettent de naviguer vers une autre page. Ils ont de multiples styles et configurations selon les besoins variés. Ils attirent l’attention sur les actions que l’utilisateur doit effectuer pour progresser dans un flux.
Buttons.IntroAlert	This UI element is currently available in our styles package only. The component version is coming soon.	Cet élément de l’interface utilisateur est actuellement disponible uniquement dans le prologiciel des styles. Il sera bientôt offert pour le progiciel des composantes.
Buttons.TypesHeading	Types	Types
Buttons.PrimaryHeading	Primary	Principal
Buttons.PrimaryBtnText	Primary button	Bouton principal
Buttons.PrimaryText	Primary buttons are used to highlight the most important actions in any experience. Avoid using more than one primary button in a section or screen whenever possible.	Les boutons principaux sont utilisés pour mettre en évidence les actions les plus importantes dans toute expérience utilisateur. Éviter autant que possible d’utiliser plus d’un bouton principal dans la même section ou le même écran.
Buttons.SecondaryHeading	Secondary	Secondaire
Buttons.SecondaryIBtnText	Secondary button	Bouton secondaire
Buttons.SecondaryText	Secondary buttons are used most often and are used when less visual attention is required on an action. They can also be used alongside a primary action if there are two options to present to the user that require a different hierarchy.	Les boutons secondaires sont les plus utilisés et ils sont utilisés lorsqu’une action requiert moins d’attention visuelle. Ils peuvent également être utilisés parallèlement à une action principale s’il y a deux options à présenter à l’utilisateur et que ces options nécessitent une hiérarchie différente.
Buttons.CriticalHeading	Critical	Critique
Buttons.CriticalBtnText	Critical button	Bouton critique
Buttons.CriticalText	Critical buttons are used for destructive actions like deleting user-contributed content.	Les boutons critiques sont utilisés pour des actions de destruction comme la suppression du contenu fourni par l’utilisateur.
Buttons.PlainHeading	Plain	Simple
Buttons.PlainBtnText	Plain button	Bouton simple
Buttons.PlainBtnTexts	Plain buttons	Boutons simples
Buttons.PlainText	Plain buttons can be used for actions that require less attention than a primary or secondary button. They are also useful in situations where the UI is more compact. They are not to be used as links. Use the link text styles for those scenarios.	Les boutons simples peuvent être utilisés pour des actions qui nécessitent moins d’attention que celles des boutons principaux ou secondaires. Ils sont également utiles dans les situations où l’interface utilisateur est plus compacte. Ces boutons ne doivent pas être utilisés comme des liens. Utiliser les styles de texte des liens dans ces situations.
Buttons.PlainCritBtnText	Plain critical button	Bouton simple critique
Buttons.ConfigurationsHeading	Configurations	Configurations
Buttons.ConfigLayoutHeading	Layout	Disposition
Buttons.ConfigLayoutFluid	Fluid	Fluid
Buttons.ConfigLayoutFixed	Fixed	Fixed
Buttons.ConfigIconHeading	Icon	Icône
Buttons.ConfigIconNone	None	None
Buttons.ConfigIconLeading	Leading	Leading
Buttons.ConfigIconTrailing	Trailing	Trailing
Buttons.ConfigStateHeading	State	État
Buttons.ConfigStateDefault	Default	Default
Buttons.ConfigStateHover	Hover	Hover
Buttons.ConfigStateActive	Active	Active
Buttons.ConfigStateDisabled	Disabled	Disabled
Buttons.ConfigStateFocus	Focus	Focus
Buttons.DoHeading	Do	À faire
Buttons.DontHeading	Don't	À ne pas faire
Buttons.DesignGuidelinesHeading	Design Guidelines	Lignes directrices de la conception
Buttons.HierarchyHeading	Hierarchy	Hiérarchie
Buttons.HierarchyDoText	Create a visual hierarchy by properly utilizing button types. The button types chosen should feel appropriate for the action they are being assigned to.	Il est possible de créer une hiérarchie visuelle en utilisant correctement les types de boutons. Les types de boutons choisis doivent être appropriés pour l’action à laquelle ils sont destinés.
Buttons.HierarchyDoImgAlt	A UI using multiple button types. There is a primary button, a secondary button and a plain button to create visual hierarchy.	Une interface utilisateur utilisant plusieurs types de boutons. Il y a un bouton principal, un bouton secondaire et un bouton simple, pour créer une hiérarchie visuelle.
Buttons.HierarchyDontText	Use multiple primary buttons in a single page or section. 	L’utilisation de plusieurs boutons principaux dans une même page ou section.
